nome_completo,data_nascimento,idade,rg,cpf,uf_atendimento,data_atendimento,modo_chegada,historico_comorbidades,pressao_sistolica,pressao_diastolica,frequencia_cardiaca,frequencia_respiratoria,temperatura_celsius,spo2_porcento,taxa_hesitacao_porcento,instabilidade_emocional_vocal_porcento,diagnostico_realizado,houve_internacao,urgencia_critica
Brenda Alves,1969-02-22,57,467820351,496.837.201-96,AC,2026-02-20 16:14:55,Trazida pelo resgate (SAMU) com suspeita de síncope.,Diabetes,129,73,68,17,36.8,97,83.19,71.98,Refluxo Gastroesofágico,0,0
Sra. Isabelly Câmara,1984-04-21,42,308617423,963.240.571-43,RR,2025-10-20 21:16:49,Meios próprios com queixa de crise de ansiedade e palpitação.,Asma,117,73,77,17,36.7,97,88.16,57.79,Mialgia (Dor Muscular),0,0
Cauã Rocha,1991-12-08,34,563028476,683.125.079-30,AL,2025-11-25 15:43:29,Acompanhada por familiares apresentando dispneia leve.,Hipertensão,132,53,70,18,35.8,95,43.33,52.79,Refluxo Gastroesofágico,0,0
Dra. Aurora Pastor,1977-08-30,49,685372042,159.807.632-95,TO,2026-01-07 19:39:41,Encaminhamento via viatura policial (situação de vulnerabilidade).,Nenhuma,150,75,87,22,37.0,96,37.47,57.56,Refluxo Gastroesofágico,0,0
Ana Beatriz Alves,1961-08-14,65,062784535,768.039.524-10,SE,2026-03-15 23:47:33,Meios próprios com queixa de crise de ansiedade e palpitação.,Diabetes,115,90,114,14,35.3,98,61.27,58.41,Refluxo Gastroesofágico,0,0
Henrique da Conceição,1999-12-29,26,406382712,694.832.170-40,PB,2026-01-14 07:12:18,Acompanhada por familiares apresentando dispneia leve.,Nenhuma,115,60,65,13,36.0,96,5.8,76.57,Mialgia (Dor Muscular),0,0
Amanda Novais,1999-01-15,27,470856130,987.142.053-60,TO,2025-12-21 04:40:48,Acompanhada por familiares apresentando dispneia leve.,Nenhuma,151,95,110,24,34.9,98,69.13,66.81,Cefaleia Tensional,0,0
Yago Leão,1946-11-14,79,684125377,869.415.273-82,RJ,2025-11-04 04:21:51,Trazida pelo resgate (SAMU) com suspeita de síncope.,Diabetes,135,87,65,15,37.7,93,78.23,95.73,Mialgia (Dor Muscular),1,0
Pietro Pastor,1992-02-28,34,264301857,058.312.679-03,RR,2025-10-04 15:22:31,Encaminhamento via viatura policial (situação de vulnerabilidade).,Nenhuma,110,68,63,11,36.3,94,39.74,94.8,Mialgia (Dor Muscular),0,0
André Teixeira,1950-10-11,76,81346075X,136.798.502-12,MG,2025-12-17 16:39:17,Trazida pelo resgate (SAMU) com suspeita de síncope.,Diabetes,130,77,105,15,38.2,94,17.46,42.19,Cefaleia Tensional,0,0
Otávio Fernandes,1948-12-25,77,561230870,604.752.813-90,MS,2026-07-08 10:16:12,Encaminhamento via viatura policial (situação de vulnerabilidade).,Asma,110,103,108,16,37.1,94,2.88,3.57,Mialgia (Dor Muscular),0,0
Eduardo Cunha,1937-08-23,89,60541872X,310.796.582-03,PE,2026-01-19 07:10:29,Trazida pelo resgate (SAMU) com suspeita de síncope.,Nenhuma,110,91,106,25,36.9,100,63.72,1.11,Cefaleia Tensional,0,0
Sr. Caleb Garcia,1979-09-02,47,265831404,372.054.896-10,RJ,2026-05-06 02:09:44,Acompanhada por familiares apresentando dispneia leve.,Nenhuma,124,80,52,22,36.0,99,26.9,12.32,Crise de Ansiedade,0,0
Luiz Henrique Ferreira,1997-05-24,29,418062535,584.960.217-85,AP,2025-11-18 14:32:06,Acompanhada por familiares apresentando dispneia leve.,Diabetes,81,76,73,23,35.7,92,46.39,7.49,Trauma Físico Severo,0,1
Julia Aparecida,1992-08-18,34,752460183,571.683.294-64,MA,2026-07-28 01:40:51,Acompanhada por familiares apresentando dispneia leve.,Doença Cardiovascular,85,81,105,22,36.9,98,38.64,37.34,Crise de Ansiedade,0,0
Sra. Zoe Campos,1975-02-26,51,74501382X,641.532.978-28,RJ,2026-08-19 23:21:57,Acompanhada por familiares apresentando dispneia leve.,Doença Cardiovascular,108,72,86,22,36.4,95,17.49,5.29,Refluxo Gastroesofágico,1,0
Anna Liz Novaes,2005-06-03,21,210457363,715.309.462-80,PB,2025-10-06 13:57:32,Encaminhamento via viatura policial (situação de vulnerabilidade).,Asma,99,48,58,14,35.4,94,50.84,62.49,Crise de Ansiedade,0,0
Luiz Miguel Oliveira,1959-08-20,67,623714085,701.458.236-44,MG,2026-04-12 12:48:55,Meios próprios com queixa de crise de ansiedade e palpitação.,Nenhuma,126,110,96,17,35.3,91,45.96,19.02,Infarto Agudo do Miocárdio,1,1
Bernardo Aparecida,1958-10-01,68,513024785,567.941.308-66,MS,2026-02-19 03:26:08,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Diabetes,101,82,67,13,35.7,100,62.41,51.4,Crise de Ansiedade,0,0
Heloísa Vargas,1952-07-11,74,157263083,529.360.847-92,RO,2026-07-07 16:06:08,Trazida pelo resgate (SAMU) com suspeita de síncope.,Doença Cardiovascular,91,85,129,16,38.0,91,25.19,10.31,Insuficiência Respiratória,1,1
Bruno da Conceição,1950-12-21,75,62041537X,354.706.981-57,AP,2026-02-14 20:00:39,Meios próprios com queixa de crise de ansiedade e palpitação.,Diabetes,149,79,123,21,38.3,96,21.46,82.77,Crise de Ansiedade,0,0
Mateus da Mota,1957-11-04,68,08576341X,830.621.579-68,RJ,2025-10-20 04:45:35,Meios próprios com queixa de crise de ansiedade e palpitação.,Doença Cardiovascular,115,68,100,18,36.7,93,81.43,78.0,Cefaleia Tensional,0,0
Maria Clara Castro,1966-09-14,60,640317856,975.160.432-06,AC,2026-03-27 10:15:11,Meios próprios com queixa de crise de ansiedade e palpitação.,Doença Cardiovascular,121,77,119,24,36.6,100,70.22,38.65,Mialgia (Dor Muscular),0,0
Dr. Gustavo Henrique Rios,1955-07-09,71,724168357,389.046.257-00,RR,2026-09-15 05:46:43,Meios próprios com queixa de crise de ansiedade e palpitação.,Doença Cardiovascular,91,56,86,12,36.2,95,77.22,91.06,Cefaleia Tensional,0,0
Brayan Pereira,2004-01-30,22,087341657,376.248.091-50,AM,2026-04-30 10:00:14,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Diabetes,109,114,104,20,35.8,96,12.33,18.57,Cefaleia Tensional,0,0
Eloá Nascimento,1951-08-03,75,730186520,056.289.137-40,PR,2025-10-02 12:42:34,Meios próprios com queixa de crise de ansiedade e palpitação.,Doença Cardiovascular,122,61,121,11,37.6,96,22.4,81.39,Crise de Ansiedade,0,0
Srta. Elisa Martins,1961-09-01,65,078625348,870.564.921-85,GO,2026-01-14 01:18:28,Acompanhada por familiares apresentando dispneia leve.,Nenhuma,96,64,91,18,38.0,98,57.55,54.59,Crise de Ansiedade,0,0
Júlia Porto,1945-10-02,81,504137268,902.534.817-32,RJ,2026-02-03 15:32:03,Acompanhada por familiares apresentando dispneia leve.,Asma,127,73,78,21,35.8,97,85.72,32.96,Cefaleia Tensional,0,0
Dra. Hellena Rodrigues,2001-05-07,25,52308741X,361.845.029-05,RN,2025-12-20 15:11:58,Encaminhamento via viatura policial (situação de vulnerabilidade).,Hipertensão,107,99,42,16,36.4,96,89.21,8.44,Mialgia (Dor Muscular),0,0
Sr. Ian Andrade,1967-10-28,58,021853460,864.791.305-10,RS,2026-05-10 06:10:00,Encaminhamento via viatura policial (situação de vulnerabilidade).,Diabetes,114,80,82,20,36.1,94,83.19,17.13,Cefaleia Tensional,0,0
Dr. João Felipe Azevedo,1996-08-15,30,507326416,961.357.842-00,ES,2025-11-06 18:04:05,Meios próprios com queixa de crise de ansiedade e palpitação.,Hipertensão,107,61,105,13,36.2,90,4.34,86.29,Trauma Físico Severo,1,1
Levi Cunha,1963-02-11,63,857214639,178.294.365-09,PE,2025-10-26 02:36:48,Meios próprios com queixa de crise de ansiedade e palpitação.,Hipertensão,157,98,108,10,37.4,92,82.09,60.69,Crise Hipertensiva Severa,0,1
Sara Gonçalves,1968-02-20,58,638721453,261.984.350-24,DF,2026-07-20 01:51:39,Meios próprios com queixa de crise de ansiedade e palpitação.,Diabetes,119,90,97,20,35.5,99,89.91,23.71,Cefaleia Tensional,0,0
Natália Casa Grande,1990-01-14,36,476035284,412.768.390-22,PB,2025-11-01 15:44:51,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Hipertensão,98,88,71,26,36.9,95,5.67,49.59,Mialgia (Dor Muscular),0,0
Davi Miguel da Cruz,1989-09-29,37,736240858,507.268.914-01,RJ,2026-05-31 17:09:37,Meios próprios com queixa de crise de ansiedade e palpitação.,Hipertensão,136,90,40,13,37.1,94,41.63,10.78,Mialgia (Dor Muscular),0,0
Dra. Zoe da Luz,1963-07-02,63,042816373,491.856.372-46,PB,2026-01-06 10:05:32,Meios próprios com queixa de crise de ansiedade e palpitação.,Doença Cardiovascular,95,115,72,24,36.4,91,53.66,9.88,Insuficiência Respiratória,1,1
Dra. Mariane Pacheco,1968-05-06,58,320871459,013.496.827-13,PE,2026-05-23 12:27:15,Meios próprios com queixa de crise de ansiedade e palpitação.,Hipertensão,124,112,77,18,37.2,90,23.28,90.78,Crise Hipertensiva Severa,1,1
Maria Cecília Câmara,1964-11-13,61,748125309,074.659.283-38,MS,2025-10-07 10:36:56,Acompanhada por familiares apresentando dispneia leve.,Nenhuma,80,69,77,11,36.6,94,51.67,45.79,Crise de Ansiedade,0,0
Thomas Monteiro,1950-09-27,76,647305185,134.675.208-71,PR,2026-09-07 02:28:34,Trazida pelo resgate (SAMU) com suspeita de síncope.,Doença Cardiovascular,93,104,100,12,37.5,100,88.6,36.16,Mialgia (Dor Muscular),0,0
Benicio Camargo,1963-07-04,63,835261475,814.023.975-50,RO,2026-06-22 13:03:33,Acompanhada por familiares apresentando dispneia leve.,Doença Cardiovascular,123,85,134,18,35.3,94,86.69,94.91,Infarto Agudo do Miocárdio,1,1
Emanuel Vieira,1995-03-10,31,256138709,863.927.104-69,AC,2026-03-17 17:03:21,Meios próprios com queixa de crise de ansiedade e palpitação.,Asma,134,87,88,15,36.2,98,93.98,39.9,Refluxo Gastroesofágico,0,0
Mariana Peixoto,1942-07-04,84,802673156,273.104.586-80,TO,2026-08-11 06:09:14,Trazida pelo resgate (SAMU) com suspeita de síncope.,Doença Cardiovascular,123,54,79,11,36.4,94,48.41,33.62,Refluxo Gastroesofágico,0,0
Matheus Garcia,1948-07-05,78,062347184,548.397.206-65,PE,2026-09-20 14:01:10,Meios próprios com queixa de crise de ansiedade e palpitação.,Asma,117,77,78,10,34.4,99,41.06,27.3,Cefaleia Tensional,0,0
Nina Moura,2002-05-26,24,561748202,105.243.789-32,GO,2025-11-19 08:58:09,Meios próprios com queixa de crise de ansiedade e palpitação.,Doença Cardiovascular,113,67,88,13,35.6,95,66.58,56.51,Mialgia (Dor Muscular),0,0
Yuri Albuquerque,1988-08-14,38,056284172,730.684.925-56,PR,2026-02-28 11:31:23,Trazida pelo resgate (SAMU) com suspeita de síncope.,Diabetes,90,92,64,18,35.8,92,41.68,55.84,Crise Hipertensiva Severa,1,1
Bruna Rodrigues,1944-08-12,82,017854623,984.365.017-48,AL,2026-06-16 17:58:16,Meios próprios com queixa de crise de ansiedade e palpitação.,Asma,105,96,88,17,37.3,95,4.19,1.62,Cefaleia Tensional,0,0
